  k    Accuracy   Kappa
    1  0.9966333  0.9931575
    2  0.9959167  0.9917014
    3  0.9963917  0.9926683
    4  0.9959667  0.9918051
    5  0.9962167  0.9923133
    6  0.9959500  0.9917718
    7  0.9958583  0.9915862
    8  0.9957083  0.9912816
    9  0.9956917  0.9912479
   10  0.9955666  0.9909941
   11  0.9955166  0.9908930
   12  0.9954166  0.9906900
   13  0.9952916  0.9904363
   14  0.9951000  0.9900472
   15  0.9950500  0.9899457
   16  0.9948416  0.9895227
   17  0.9947250  0.9892858
   18  0.9945416  0.9889135
   19  0.9945416  0.9889136
   20  0.9944833  0.9887952
   21  0.9942583  0.9883384
   22  0.9942167  0.9882540
   23  0.9941000  0.9880172
   24  0.9939333  0.9876787
   25  0.9939917  0.9877972
   26  0.9938583  0.9875265
   27  0.9938333  0.9874759
   28  0.9936250  0.9870533
   29  0.9935500  0.9869008
   30  0.9934750  0.9867488
   31  0.9933083  0.9864107
   32  0.9932417  0.9862754
   33  0.9930917  0.9859711
   34  0.9930833  0.9859542
   35  0.9929667  0.9857174
   36  0.9929417  0.9856670
   37  0.9928583  0.9854978
   38  0.9927667  0.9853115
   39  0.9927083  0.9851933
   40  0.9925583  0.9848889
   41  0.9925333  0.9848386
   42  0.9924583  0.9846863
   43  0.9924083  0.9845846
   44  0.9922500  0.9842631
   45  0.9922667  0.9842972
   46  0.9922083  0.9841789
   47  0.9920583  0.9838746
   48  0.9918833  0.9835192
   49  0.9918167  0.9833840
   50  0.9917167  0.9831811
   51  0.9917000  0.9831473
   52  0.9916417  0.9830288
   53  0.9915333  0.9828089
   54  0.9914667  0.9826737
   55  0.9914000  0.9825383
   56  0.9913167  0.9823692
   57  0.9912833  0.9823018
   58  0.9912750  0.9822850
   59  0.9912333  0.9822002
   60  0.9911750  0.9820818
   61  0.9911417  0.9820140
   62  0.9910500  0.9818275
   63  0.9910083  0.9817432
   64  0.9908667  0.9814558
   65  0.9908333  0.9813879
   66  0.9908000  0.9813206
   67  0.9907500  0.9812192
   68  0.9906250  0.9809653
   69  0.9906083  0.9809316
   70  0.9905166  0.9807455
   71  0.9904250  0.9805594
   72  0.9903333  0.9803730
   73  0.9903333  0.9803732
   74  0.9902833  0.9802715
   75  0.9901833  0.9800686
   76  0.9902166  0.9801361
   77  0.9901750  0.9800519
   78  0.9900916  0.9798826
   79  0.9900666  0.9798320
   80  0.9900333  0.9797640
   81  0.9899916  0.9796793
   82  0.9899500  0.9795948
   83  0.9898916  0.9794764
   84  0.9898333  0.9793579
   85  0.9898250  0.9793408
   86  0.9898166  0.9793237
   87  0.9897333  0.9791543
   88  0.9896250  0.9789344
   89  0.9896583  0.9790024
   90  0.9896000  0.9788839
   91  0.9895416  0.9787658
   92  0.9894750  0.9786303
   93  0.9894666  0.9786135
   94  0.9894083  0.9784951
   95  0.9894750  0.9786303
   96  0.9894083  0.9784955
   97  0.9893833  0.9784444
   98  0.9893083  0.9782924
   99  0.9893000  0.9782754
  100  0.9892083  0.9780895
